race,ethnicity,age_group_5yr,sex,n_victims,n_offenders,n,weighted,victim_rate_per_100k,offender_rate_per_100k
American Indian or Alaska Native,Not Hispanic/Latino,0-4,Female,1,0,1796,115055,0.8691495371778715,0
American Indian or Alaska Native,Not Hispanic/Latino,0-4,Male,1,0,1924,129314,0.7733114743956572,0
American Indian or Alaska Native,Not Hispanic/Latino,5-9,Male,1,0,2377,150944,0.6624973500106,0
American Indian or Alaska Native,Not Hispanic/Latino,10-14,Female,0,1,2567,156536,0,0.638830684315429
American Indian or Alaska Native,Not Hispanic/Latino,10-14,Male,1,7,2684,165394,0.6046168542994305,4.232317980096013
American Indian or Alaska Native,Not Hispanic/Latino,15-19,Female,3,5,2618,166110,1.8060321473722232,3.010053578953705
American Indian or Alaska Native,Not Hispanic/Latino,15-19,Male,11,24,2842,176399,6.235863015096458,13.605519305664998
American Indian or Alaska Native,Not Hispanic/Latino,20-24,Female,4,3,1796,134980,2.9634019854793303,2.222551489109498
American Indian or Alaska Native,Not Hispanic/Latino,20-24,Male,15,19,2068,151482,9.90216659405078,12.54274435246432
American Indian or Alaska Native,Not Hispanic/Latino,25-29,Female,5,6,1866,148026,3.3777849837190765,4.053341980462892
American Indian or Alaska Native,Not Hispanic/Latino,25-29,Male,14,22,2051,147159,9.51351939059113,14.949816185214631
American Indian or Alaska Native,Not Hispanic/Latino,30-34,Female,8,2,2160,158318,5.053120933816749,1.2632802334541873
American Indian or Alaska Native,Not Hispanic/Latino,30-34,Male,26,21,2362,169001,15.384524351926911,12.425961976556351
American Indian or Alaska Native,Not Hispanic/Latino,35-39,Female,4,8,2342,166567,2.4014360587631405,4.802872117526281
American Indian or Alaska Native,Not Hispanic/Latino,35-39,Male,21,10,2383,149786,14.020001869333582,6.676191366349324
American Indian or Alaska Native,Not Hispanic/Latino,40-44,Female,6,2,2309,162589,3.690286550750666,1.2300955169168886
American Indian or Alaska Native,Not Hispanic/Latino,40-44,Male,8,6,2340,157391,5.082882756955607,3.8121620677167054
American Indian or Alaska Native,Not Hispanic/Latino,45-49,Female,1,2,2097,139751,0.7155583859865046,1.4311167719730091
American Indian or Alaska Native,Not Hispanic/Latino,45-49,Male,4,6,2172,143085,2.7955411119264775,4.193311667889716
American Indian or Alaska Native,Not Hispanic/Latino,50-54,Female,1,1,2349,143733,0.6957344520743323,0.6957344520743323
American Indian or Alaska Native,Not Hispanic/Latino,50-54,Male,6,1,2350,140194,4.279783728262266,0.7132972880437108
American Indian or Alaska Native,Not Hispanic/Latino,55-59,Female,2,2,2617,145302,1.3764435451679948,1.3764435451679948
American Indian or Alaska Native,Not Hispanic/Latino,55-59,Male,5,3,2338,126063,3.9662708328375493,2.3797624997025295
American Indian or Alaska Native,Not Hispanic/Latino,60-64,Female,2,1,2824,152321,1.3130165899646142,0.6565082949823071
American Indian or Alaska Native,Not Hispanic/Latino,60-64,Male,4,2,2584,137871,2.9012627746226545,1.4506313873113272
American Indian or Alaska Native,Not Hispanic/Latino,65-69,Male,2,0,2158,111318,1.7966546290806518,0
American Indian or Alaska Native,Not Hispanic/Latino,70-74,Male,3,1,1550,81864,3.664614482556435,1.221538160852145
American Indian or Alaska Native,Not Hispanic/Latino,80+,Female,1,0,1320,67375,1.4842300556586272,0
American Indian or Alaska Native,Not Hispanic/Latino,Unknown,Female,1,0,NA,NA,NA,NA
American Indian or Alaska Native,Not Hispanic/Latino,Unknown,Male,2,0,NA,NA,NA,NA
American Indian or Alaska Native,Hispanic/Latino,15-19,Female,0,1,1361,141423,0,0.7070985624686225
American Indian or Alaska Native,Hispanic/Latino,15-19,Male,1,3,1381,143883,0.6950091393701827,2.085027418110548
American Indian or Alaska Native,Hispanic/Latino,20-24,Male,1,0,1242,139003,0.7194089336201377,0
American Indian or Alaska Native,Hispanic/Latino,30-34,Male,2,1,1199,136172,1.4687307229092619,0.7343653614546309
American Indian or Alaska Native,Hispanic/Latino,35-39,Male,2,0,1062,130101,1.5372672000983851,0
American Indian or Alaska Native,Hispanic/Latino,40-44,Female,0,1,1027,111387,0,0.8977708350166537
American Indian or Alaska Native,Hispanic/Latino,40-44,Male,1,0,1024,122802,0.814318985032817,0
American Indian or Alaska Native,Hispanic/Latino,60-64,Male,1,0,550,53587,1.8661242465523353,0
American Indian or Alaska Native,Hispanic/Latino,65-69,Male,1,0,407,38550,2.594033722438392,0
American Indian or Alaska Native,NA,0-4,Female,1,0,NA,NA,NA,NA
American Indian or Alaska Native,NA,0-4,Male,1,0,NA,NA,NA,NA
American Indian or Alaska Native,NA,5-9,Male,0,1,NA,NA,NA,NA
American Indian or Alaska Native,NA,10-14,Female,1,0,NA,NA,NA,NA
American Indian or Alaska Native,NA,10-14,Male,2,2,NA,NA,NA,NA
American Indian or Alaska Native,NA,15-19,Female,4,2,NA,NA,NA,NA
American Indian or Alaska Native,NA,15-19,Male,5,18,NA,NA,NA,NA
American Indian or Alaska Native,NA,20-24,Female,1,6,NA,NA,NA,NA
American Indian or Alaska Native,NA,20-24,Male,4,18,NA,NA,NA,NA
American Indian or Alaska Native,NA,25-29,Female,6,3,NA,NA,NA,NA
American Indian or Alaska Native,NA,25-29,Male,5,7,NA,NA,NA,NA
American Indian or Alaska Native,NA,30-34,Female,3,8,NA,NA,NA,NA
American Indian or Alaska Native,NA,30-34,Male,12,12,NA,NA,NA,NA
American Indian or Alaska Native,NA,35-39,Female,3,3,NA,NA,NA,NA
